Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0805,2,100nF,
"C3, C5",0805,2,10uF,
"C4, C6",0805,2,0.1uF,
"D1, D2, D3",0805,3,LED,
D4,SOD3715X145N,1,1N5819HW-7-F,
"D5, D6, D7",TVS_LESD5D5.0CT1G,3,LESD5D5.0CT1G,
F1,0805,1,Fuse_Small,
J1,USB_A_CNCTech_1001-011-01101_Horizontal,1,USB_A,
J2,PinHeader_1x06_P2.54mm_Horizontal,1,Conn_01x06_Pin,
J4,TE_84953-6_1x06-1MP_P1.0mm_Horizontal,1,Conn_01x06_MountingPin,
"Q1, Q2",SOT-23,2,MMBT3904,
"R1, R2",0805,2,10kΩ,
R3,0805,1,750,
"R4, R5",0805,2,1k,
U1,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340C,
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,
